"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@review_drone","Drone Review Uk","HASAKEE H1 FPV RC Drone with HD Live Video Wifi Camera and Headless Mode 2.4GHz 6-Axis Gyro Quadcopter with Altitude Hold,FPV Mobile Control and... - https://t.co/1S4AMMbPTh #drones #dronegear #drone https://t.co/9q1tlgww7K","0","0","0","1587386960000","20 Apr 2020","review_drone/status/1252217786408898562","https://twitter.com/search?lang=en&q=drone&src=typed_query","drones | dronegear | drone"
"@DroneGoGo","Ag @ 小型AIロボット作りたい","やっぱアメリカ行きたいなあ...","0","0","0","1587387494000","20 Apr 2020","DroneGoGo/status/1252220026926428162","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@fulaiying","Fulaiying Drone","Have you found anything fun here? If not, please click https://t.co/7bGNe8R0CB #dronewificamera #smalldronewithcamera https://t.co/2mvUlWNaUy","0","0","0","1587385694000","20 Apr 2020","fulaiying/status/1252212480283013124","https://twitter.com/search?lang=en&q=drone&src=typed_query","dronewificamera | smalldronewithcamera"
"@RealSaavedra","Ryan Saavedra","‘THIS IS CRAZY!’: Chinese-Made Drones Are Monitoring Streets In 20 States To Enforce Social Distancing. U.S. Officials Are Concerned About Spying. https://t.co/l1ZYHIolkP","148","986","1457","1587355175000","20 Apr 2020","RealSaavedra/status/1252084474495434752","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@Silver_Dollar88","Medi 11501","@FuriosaDr @polina_giralt @DMoLeftCoast @JoJoFromJerz @atrupar @GovInslee So you’re upset that Trump decided to declare a national emergency? It sounds as though that’s who you’re really pissed off at but because you’re a propaganda drone you’re not allowed to actually speak your truth. Wake up and leave the cult.","0","0","0","1587386537000","20 Apr 2020","Silver_Dollar88/status/1252216015020265472","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@PhilMcNeil","Phil McNeil","@GadSaad Won’t happen. Some hungry group will knock it out of the sky for free pizza. I worked with a drone co who was hired to come up with a plan for ice cream delivery in India. It was scrapped because they would be damaged and robbed daily.","0","0","0","1587387511000","20 Apr 2020","PhilMcNeil/status/1252220101115301889","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@SilasLongshot","Silas Longshot ❌","If U R stupid enough 2 vote democrat after all the BS from DC, all the over reach, rights trampling, gun grabbing, draconian BS, spying with drones & all the other 💩democrats have pulled at all levels of govt, your IQ can be measured in single digits. VOTE OUT ALL DEMOCRATS https://t.co/iQByb51qIC","0","0","0","1587386752000","20 Apr 2020","SilasLongshot/status/1252216917932355584","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@kroutoy","birds are drones","yummy boiled cardboard to go with my swedish fermented fish https://t.co/awD1x92CQN","0","0","1","1587386962000","20 Apr 2020","kroutoy/status/1252217798459363329","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@rallex_ebooks","uniscott_ebooks","Gonna spend some time leaning how to fly a drone today at work.","0","0","0","1587387759000","20 Apr 2020","rallex_ebooks/status/1252221139327344644","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
"@Drone4Britney","Slave4Britney.com","Goddess Britney are the most Beautiful Goddess, shes a living legend. I feel lucky to be her property. I surrender to Goddess Britney i give inn to Goddess Britney i Live for Goddess Britney im on my knees everyday and night for Goddess Britney Inn Goddess Britney's name i pray","0","0","0","1587387698000","20 Apr 2020","Drone4Britney/status/1252220885811056641","https://twitter.com/search?lang=en&q=drone&src=typed_query",""
