"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@Schoolwithoutw2","Schoolwithoutwallslibrary","Ready for the COVD 19 Reading Team🦋🦋. Here We Go check us out!!!! Tell me what you think & SHARE👠👠👠 https://t.co/o7GGln2Zir","0","0","0","1587308847000","19 Apr 2020","Schoolwithoutw2/status/1251890158363869184","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@ShoaibKhan1998","MD Shoaib Rajput","@alnassar_kw Thanks @alnassar_kw bro ... Indian muslim not safe ...Rss and bjp ,Media continue blaming muslim for increasing COVD-19 ..and killing ...if muslim people share post against this bad thinking then they arrest muslim","0","0","1","1587374509000","20 Apr 2020","ShoaibKhan1998/status/1252165565000474626","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@sinertesinparo","🚫 Cesados período de pruebas 😷✊ #sinertesinparo","Según las últimas noticias #COVD19 muchos trabajadores aún no reciben ninguna de las ayudas del gobierno, sobre todo sector hostelería en España 🇪🇸 donde muchos fueron despedidos #sinertesinparo Necesitamos a la #MinistraEsperanza https://t.co/bx4hIITKsq","0","2","2","1587369456000","20 Apr 2020","sinertesinparo/status/1252144372075954176","https://twitter.com/search?lang=en&q=covd-19&src=typed_query","COVD19 | sinertesinparo | MinistraEsperanza"
"@sinertesinparo","🚫 Cesados período de pruebas 😷✊ #sinertesinparo","Según las últimas noticias #COVD19 muchos trabajadores aún no reciben ninguna de las ayudas del gobierno, sobre todo sector hostelería en España 🇪🇸 donde muchos fueron despedidos #sinertesinparo Necesitamos a la #MinistraEsperanza https://t.co/Pd2O9nK5E3","0","5","1","1587368838000","20 Apr 2020","sinertesinparo/status/1252141779555680256","https://twitter.com/search?lang=en&q=covd-19&src=typed_query","COVD19 | sinertesinparo | MinistraEsperanza"
"@hrtablaze","OakTown ☢ Unfiltered","Dan Crenshaw leaves Bill Maher absolutely speechless. He patiently and calmly destroys every single lie and leftist talking point one by one. You have to watch this. School is in session boys and girls . https://t.co/rth8HuXE5X","456","3497","5914","1587283660000","19 Apr 2020","hrtablaze/status/1251784518345781249","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@msabelina","Isabel Fdez Feal","Personas que a día de hoy, superaron el COVD-19 https://t.co/z8EpYdtjVF","0","0","0","1587307150000","19 Apr 2020","msabelina/status/1251883041011699713","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@p_dt","Philip Tangco","@FDPascual Ang babaw NILA. Puro yabang, sindak, wala ng plano at wala man lang paglinaw sa Taong Bayan kung ano ang kaharap. Baka 'di man NILA naiintindihan NILA ang COVD19 at ang Tao. The Science Behind the Coronavirus Series 1 https://t.co/CnGJlF6HUn Series 2 https://t.co/5YKH1HvkY7","0","0","0","1587306468000","19 Apr 2020","p_dt/status/1251880181381251074","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@LMichelleJ87","Laura M Johnson","@SoSimpozee @wil_da_beast630 @mechelenewell We are talking about Kap choosing to give to COVD-19 communities over others. I feel for you. It’s tough to look at your life in relationship to people of color who you feel were given more than you. Whites are stressed too and Asians experience racial discrimination. I agree.","1","0","1","1587318836000","19 Apr 2020","LMichelleJ87/status/1251932056529113090","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@Optimiste_sans","OptimisteSansEspoir","The tide has turned, before CovD19, people were terrified of being labelled Islamophobic. The Muslim community have wilfully ignored the rules & continued to gather in crowds, following Sharia Law, putting their lives & those of the wider public at risk. https://t.co/LEHM1vHGaR","0","1","1","1587382148000","20 Apr 2020","Optimiste_sans/status/1252197607398682624","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@HarishMamulla","Harish Mamulla","Covd19!! Following the Advice Of both Central and State Govts. For The Prevention Of Covd19 Humain Blood That Too Indian. can Prevent The Virus Hopefully 🙏 #Btech #NarendraModi #pmoindia #ktrtrs","0","0","2","1587348496000","20 Apr 2020","HarishMamulla/status/1252056460776931329","https://twitter.com/search?lang=en&q=covd-19&src=typed_query","Btech | NarendraModi | pmoindia | ktrtrs"
"@orionvesper","Max Alex","Que adjetivo usar? Como classificar? São criminosos em prol do covd19. Mas não teremos punição, pois, @STF_oficial @SenadoFederal @camaradeputados agiram por muito tempo como uma puta, se mostram para quem paga mais. Agora o que eles podem fazer? A democracia está ruindo. https://t.co/BrwKuZyVg6","0","1","3","1587320269000","19 Apr 2020","orionvesper/status/1251938067956539393","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@Stewy32","Chad","Front porch livin'! 👍🤘 Fuck you Covd19!🖕 https://t.co/hnW6dKAc6F","0","0","0","1587340903000","20 Apr 2020","Stewy32/status/1252024609735684098","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@markkirklin1","mark kirklin","@FAIRImmigration @DailyCaller @thejasonhopkins While the world is being scammed and POTUS works to correct this problem started by DS NWO. The dems are doing an end run to implement their agenda. Everyone is focusing on the wrong thing, thats COVD19??? Bring the Pain, Justice NEEDED. MAGA 🙏🇺🇸","1","3","15","1587309319000","19 Apr 2020","markkirklin1/status/1251892137559498761","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@ComfortablySmug","Comfortably Smug","Exploiting a death for a political points is so disgusting and NYTimes and @GiniaNYT should be ashamed of themselves. As always, Tucker said it best https://t.co/E7uwrmtoun","58","868","2760","1587313738000","19 Apr 2020","ComfortablySmug/status/1251910673044561926","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@unicefaustralia","UNICEF Australia","Similarities b/w #COVD19 & #ClimateChange - Both: require a global-to-local response & long-term thinking; need to be guided by #science & protect our most vulnerable; require political will to make fundamental changes when faced with existential risks. https://t.co/n1L98UWcZ5","0","2","2","1587368085000","20 Apr 2020","unicefaustralia/status/1252138621269934080","https://twitter.com/search?lang=en&q=covd-19&src=typed_query","COVD19 | ClimateChange | science"
"@RudyGiuliani","Rudy W. Giuliani","At a time when we must unite the people of NYC and America, the failed Mayor of NYC chooses to encourage citizens to rat out individuals failing to follow the strict restrictions, which invade their usual sense of privacy.","547","4299","10861","1587339545000","19 Apr 2020","RudyGiuliani/status/1252018913619181568","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@PhraAthit","Georg Erber","Erster Fall schon Monate früher und nicht in Wuhan? Neue Studie überrascht - WHO schlägt Alarm Es wird immer mysteriöser #coronavirus #COVD19 #China #origin https://t.co/pqewJZIHdW","1","0","0","1587371872000","20 Apr 2020","PhraAthit/status/1252154504419647488","https://twitter.com/search?lang=en&q=covd-19&src=typed_query","coronavirus | COVD19 | China | origin"
"@ComfortablySmug","Comfortably Smug","The journos are using Fox News and conservatives as a scapegoat because they dont want to admit this was what THEY were telling people before this poor guy left for his cruise https://t.co/fW8NftcOid","36","878","2801","1587313546000","19 Apr 2020","ComfortablySmug/status/1251909866983219201","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@pak_javid","Javid Khan Afridi","@BilalAfrdi Most visited place during Covd 19.☹","1","0","1","1587358779000","20 Apr 2020","pak_javid/status/1252099590586871816","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
"@On_the_Trail","Pocket Pal TrailMaps","Pocket Pals Trail Maps are here to help you find some new, less crowded trails, so that you can get outside during COVD-19. Please make sure to practice social distancing while out on the trails and go at times of… https://t.co/JWxlqkPIdS","0","0","0","1587341940000","20 Apr 2020","On_the_Trail/status/1252028962911346688","https://twitter.com/search?lang=en&q=covd-19&src=typed_query",""
